pi_approx,nodos,procesadores,iteraciones,tiempo,error,calidad,tipo
3.141194,4,16,100000000,0.06934212,0.0003983565,36201.86,tr_es
3.141194,4,16,100000000,0.0724458,0.0003983565,34650.93,tr
3.14033,4,16,10000000,0.04308972,0.001262516,18381.85,tr
3.14033,4,16,10000000,0.04316788,0.001262516,18348.57,tr_es
3.141467,4,16,1000000000,0.4357143,0.0001258828,18231.9,tr
